from,to,cost
0,0,0.0
0,1,3165.94
0,2,8731.54
0,3,11903.45
0,4,7757.18
0,5,19878.51
0,6,18436.35
0,7,2213.47
0,8,5887.74
0,9,16132.12
0,10,13615.5
0,11,4269.59
0,12,9099.25
0,13,25422.62
0,14,13520.72
0,15,5371.21
0,16,16011.3
0,17,15778.86
0,18,18061.91
0,19,17633.57
0,20,15462.43
0,21,15165.69
0,22,19417.62
0,23,15238.99
0,24,18670.73
0,25,18565.91
0,26,20183.65
0,27,17390.28
0,28,15191.11
0,29,15438.23
0,30,15612.42
0,31,15892.59
0,32,15626.48
0,33,17350.32
0,34,16135.11
0,35,15225.48
0,36,15073.98
0,37,16693.12
0,38,18093.27
0,39,16693.12
0,40,17377.09
0,41,18565.91
0,42,26429.57
0,43,17633.57
0,44,16231.72
0,45,16011.3
0,46,15626.48
0,47,18671.69
0,48,18833.92
0,49,24447.53
0,50,15260.67
0,51,14430.67
0,52,13734.57
0,53,16540.18
0,54,15466.21
0,55,17671.96
0,56,16220.25
0,57,15046.88
0,58,13116.35
0,59,13739.89
0,60,13734.57
0,61,13358.63
0,62,16618.13
0,63,17196.06
0,64,13635.75
0,65,12997.24
0,66,15479.33
0,67,16772.15
0,68,12457.14
0,69,16548.5
0,70,16220.25
0,71,17329.95
0,72,14001.52
0,73,18143.31
0,74,21100.21
0,75,22525.28
0,76,22796.58
0,77,18554.52
0,78,23092.95
0,79,23751.86
0,80,22283.86
0,81,19016.57
0,82,23586.52
0,83,19552.98
0,84,18671.27
0,85,18762.9
0,86,19852.75
0,87,19097.3
0,88,23739.71
0,89,19626.76
0,90,20196.98
0,91,22261.32
0,92,18916.01
0,93,22582.85
0,94,19385.93
0,95,18677.44
0,96,18811.99
0,97,22525.28
0,98,24835.02
0,99,19016.57
0,100,19214.22
0,101,22283.86
0,102,20216.57
0,103,25558.79
0,104,20359.54
0,105,25568.29
0,106,23092.95
0,107,19341.45
0,108,6580.34
0,109,5271.73
0,110,20485.08
0,111,24839.53
0,112,10901.71
0,113,24607.97
0,114,9165.09
0,115,3153.95
0,116,13101.03
0,117,14782.32
0,118,9382.32
0,119,17840.06
0,120,4174.07
0,121,16874.95
0,122,16599.96
0,123,2299.75
0,124,7579.479999999999
0,125,15112.74
0,126,6865.97
0,127,3597.36
0,128,12347.29
0,129,1523.97
0,130,6494.29
0,131,18261.18
0,132,2908.21
0,133,5574.54
0,134,11830.8
0,135,20812.55
0,136,6485.92
0,137,13267.95
0,138,12176.65
0,139,5571.97
0,140,15923.33
0,141,9602.04
0,142,15272.86
0,143,11044.55
0,144,4665.37
0,145,15495.11
0,146,15330.71
0,147,4955.01
0,148,12751.2
0,149,21024.91
0,150,27850.35
0,151,24562.4
0,152,24967.11
0,153,21689.13
0,154,24562.4
0,155,21863.02
0,156,17744.42
0,157,27087.66
0,158,21575.84
0,159,19326.45
0,160,28405.96
0,161,21347.94
0,162,21347.37
0,163,21976.14
0,164,21480.47
0,165,27461.9
0,166,24049.18
0,167,17323.27
0,168,24776.82
0,169,24016.15
0,170,22747.93
0,171,22125.65
0,172,24045.83
0,173,16692.71
0,174,21279.69
0,175,22017.19
0,176,18312.7
0,177,21273.08
0,178,23996.49
0,179,16943.45
0,180,19911.14
0,181,27087.66
0,182,25502.72
0,183,16963.46
0,184,27033.47
0,185,16722.56
0,186,21827.48
0,187,21303.52
0,188,17310.0
0,189,25702.04
0,190,19543.25
0,191,20438.8
0,192,18312.7
0,193,16744.97
0,194,25261.09
0,195,21754.67
0,196,26967.73
0,197,21290.25
0,198,19890.08
0,199,19894.84
0,200,23440.09
0,201,25988.27
0,202,27729.38
0,203,19947.12
0,204,23184.71
0,205,19947.12
0,206,21926.97
0,207,22762.58
0,208,21263.9
0,209,19337.01
0,210,27575.15
0,211,21669.18
0,212,18805.5
0,213,19911.14
0,214,9041.52
0,215,14392.85
0,216,6464.18
0,217,11584.16
0,218,18457.2
0,219,10725.64
0,220,9319.97
0,221,8273.62
0,222,10913.95
0,223,21561.83
0,224,10012.42
0,225,22614.08
0,226,26339.9
0,227,10012.42
1,0,3165.94
1,1,0.0
1,2,5625.76
1,3,8749.35
1,4,4695.51
1,5,16716.96
1,6,15274.0
1,7,1037.65
1,8,2910.29
1,9,12966.19
1,10,10451.78
1,11,1330.37
1,12,5982.33
1,13,22258.06
1,14,10357.2
1,15,2391.12
1,16,13509.06
1,17,13160.73
1,18,14952.42
1,19,15294.95
1,20,12330.53
1,21,12333.9
1,22,16346.37
1,23,12313.06
1,24,15578.99
1,25,15471.28
1,26,17132.29
1,27,15031.23
1,28,12337.72
1,29,12306.16
1,30,12457.45
1,31,12727.07
1,32,12472.69
1,33,14221.69
1,34,12970.7
1,35,12133.23
1,36,12039.26
1,37,13545.76
1,38,15792.86
1,39,13545.76
1,40,15020.31
1,41,15471.28
1,42,23449.35
1,43,15294.95
1,44,13753.67
1,45,13509.06
1,46,12472.69
1,47,15581.01
1,48,15747.37
1,49,21457.8
1,50,12334.42
1,51,13789.97
1,52,12815.38
1,53,16319.82
1,54,12617.080000000002
1,55,17882.68
1,56,15941.24
1,57,12365.57
1,58,10865.37
1,59,12823.89
1,60,12815.38
1,61,12159.41
1,62,16422.75
1,63,14101.22
1,64,12636.35
1,65,10769.99
1,66,12614.76
1,67,13708.5
1,68,10434.92
1,69,13507.87
1,70,15941.24
1,71,17498.6
1,72,13226.38
1,73,18377.43
1,74,18077.68
1,75,19419.51
1,76,19682.15
1,77,16121.81
1,78,19970.27
1,79,20625.36
1,80,19189.45
1,81,16350.16
1,82,20460.04
1,83,16708.99
1,84,16540.09
1,85,16393.22
1,86,18560.02
1,87,16395.53
1,88,20612.72
1,89,18241.14
1,90,17268.91
